"Metrics","ShortName"
"S&P 500 Index","sp500"
"Gap between U.S. and global stocks","stock_gap"
"Nonfarm payrolls","nonfarm_payroll"
"Disposable income per capita","disp_inc_per_cap"
"Debt-to-income ratio*","debt_inc_ratio"
"Gross domestic product","GDP"
"Deficit as share of GDP*","deficit_share_GDP"
"Home equity","home_equity"
"Bond performance","bond_perf"
"Dollar value","dollar_val"
"Manufacturing jobs","jobs_manufacturing"
"Auto sales","auto_sales"
"Hourly wages","hourly_wages"
"Productivity","productivity"
"Overall Rank","overall_rank"
